web-scraper-order,web-scraper-start-url,deals,deals-href,picture-src,title
"1571619482-25","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/t-shirts-from-gemini-man-up-for-grabs/","/images/promos/GeminiManGiveaway(496x707).jpg","T-Shirts from GEMINI MAN up for grabs!"
"1571619433-1","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/back-by-popular-demand---morning-midnight-sessions/","/images/promos/233Big.jpg","Back by Popular Demand - Morning & Midnight Sessions"
"1571619450-9","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/enjoy-senior-privileges/","/images/promos/SR$5webposter.jpg","Enjoy senior privileges!"
"1571619466-17","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/student-fb-privileges/","/images/promos/StudentsFnB_Website-Poster-(496x707)(1).jpg","Student F&B Privileges"
"1571619472-20","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/enjoy-5-off-fb-combos-at-cathay-cineplexes-when-you-pay-with-singtel-dash/","/images/promos/CathayPromo-496x707.jpg","Enjoy $5 OFF F&B Combos at Cathay Cineplexes when you pay with Singtel Dash!"
"1571619454-11","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/student-privileges/","/images/promos/2Students-Web-Poster.jpg","Student Privileges"
"1571619499-27","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/platinum-movie-suites-movie-dining-experience/","/images/promos/MaleF-PMS-web-promo.jpg","Platinum Movie Suites Movie Dining Experience"
"1571619458-13","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/purchasing-your-cinema-snacks-just-got-easier/","/images/promos/websales_webposter.jpg","Purchasing your cinema snacks just got easier!"
"1571619460-14","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/kids-watch-for-free/","/images/promos/496x707(3).jpg","Kids Watch for FREE!"
"1571619441-5","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/tap-to-pay-and-enjoy-1-off-any-popcorn-combo/","/images/promos/CathayPromo-v4_WebsitePromoPoster.jpg","Tap to pay and enjoy $1 off any Popcorn Combo!"
"1571619437-3","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/redeem-your-healthpoint-rewards-with-us/","/images/promos/3web-poster_V2.jpg","Redeem your Healthpoint Rewards with us!"
"1571619448-8","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/book-your-event-with-us/","/images/promos/PMS-Poster-Banner-2.jpg","Book Your Event With Us!"
"1571619444-6","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/merdeka-and-pioneer-generation-privileges/","/images/promos/11webposter.jpg","Merdeka and Pioneer Generation Privileges"
"1571619476-22","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/hhc","/images/promos/HHC-webposter.jpg","Halloween Horror Classics"
"1571619480-24","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/halloween-decor-outlet-contest/","/images/promos/HallDecor-web-poster.jpg","Halloween Decor Outlet Contest"
"1571619474-21","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/hhcmc","/images/promos/SA_PromoWebPoster1COMPRESSED.jpg","Scream Asia 2019 Master Class"
"1571619452-10","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/passion-card-movie-privileges/","/images/promos/Passion-card-2019-web-poster.jpg","PAssion Card Movie Privileges"
"1571619470-19","https://www.cathaycineplexes.com.sg/promotions/","","https://www.cathaycineplexes.com.sg/promotions/bring-home-super-fly-the-angry-birds-movie-2-collectibles/","/images/promos/The-Angry-Birds-2-Movie-Web-Poster-ITP.jpg","Bring home super fly THE ANGRY BIRDS MOVIE 2 collectibles!"
